Target Production,,,,,,
Production Center,Jan,Feb,Mar,Apr,May,Jun
Bangalore,4600,3800,3700,3800,4100,4000
Chennai,4700,4400,4400,4700,4800,4700
Mumbai,3600,3700,4000,4100,4100,4200
Delhi,2700,3000,3500,3800,4000,3400
Kolkata,3800,4500,4700,4100,4200,4000
Ahmedabad,2800,2900,2000,3500,4000,4000
Jaipur,2500,2600,2900,3000,3500,3800
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Patna,2000,2500,2600,2000,2500,2900
